car_price,age,gender,income,education,marital
5.8,23,Female,Under $25,High school degree,Married
10.5,23,Male,Under $25,High school degree,Unmarried
27,23,Male,$50 - $74,College degree,Unmarried
13.4,23,Male,$25 - $49,High school degree,Married
7.9,23,Female,Under $25,High school degree,Unmarried
9.4,23,Male,Under $25,High school degree,Unmarried
31.6,23,Male,$50 - $74,College degree,Unmarried
27.1,23,Male,$50 - $74,Did not complete high school,Married
16,23,Male,$25 - $49,Did not complete high school,Unmarried
29.1,23,Male,$50 - $74,College degree,Married
10.5,23,Male,Under $25,College degree,Unmarried
9,23,Male,Under $25,High school degree,Married
17.7,23,Male,$25 - $49,College degree,Married
7.4,23,Female,Under $25,College degree,Unmarried
11.8,24,Female,Under $25,High school degree,Unmarried
9.6,24,Male,Under $25,High school degree,Unmarried
9.6,24,Male,Under $25,Some college,Unmarried
13.5,24,Female,$25 - $49,College degree,Married
7.4,24,Male,Under $25,High school degree,Married
10.8,24,Female,Under $25,High school degree,Unmarried
10.6,24,Female,Under $25,High school degree,Unmarried
38.5,24,Male,$75+,College degree,Married
24.5,24,Female,$25 - $49,High school degree,Unmarried
8,24,Male,Under $25,Some college,Unmarried
17.1,24,Male,$25 - $49,Some college,Unmarried
12.4,24,Male,$25 - $49,High school degree,Unmarried
8.7,24,Male,Under $25,High school degree,Married
17,24,Female,$25 - $49,College degree,Married
8,24,Male,Under $25,College degree,Unmarried
12.8,24,Female,$25 - $49,Did not complete high school,Unmarried
11,24,Male,Under $25,High school degree,Unmarried
21.8,24,Male,$25 - $49,Some college,Married
11.4,24,Male,Under $25,College degree,Unmarried
8,24,Male,Under $25,Did not complete high school,Unmarried
13.4,24,Male,$25 - $49,Did not complete high school,Married
9.9,24,Male,Under $25,Some college,Unmarried
15.8,24,Male,$25 - $49,College degree,Married
10.5,24,Male,Under $25,High school degree,Unmarried
8.9,24,Female,Under $25,Some college,Unmarried
10,24,Male,Under $25,Some college,Married
12.6,24,Female,$25 - $49,College degree,Married
16.2,24,Male,$25 - $49,High school degree,Unmarried
8.9,24,Male,Under $25,Did not complete high school,Unmarried
15.1,24,Female,$25 - $49,Some college,Unmarried
9,24,Male,Under $25,Some college,Unmarried
28.4,24,Female,$50 - $74,College degree,Unmarried
11.8,24,Female,Under $25,Some college,Married
9.3,24,Female,Under $25,Did not complete high school,Married
19.1,24,Female,$25 - $49,College degree,Married
19.5,24,Female,$25 - $49,College degree,Married
18.8,24,Female,$25 - $49,College degree,Married
16,24,Female,$25 - $49,Some college,Married
11.9,24,Male,Under $25,College degree,Married
9,24,Male,Under $25,College degree,Unmarried
15.2,24,Female,$25 - $49,College degree,Married
10.6,24,Male,Under $25,College degree,Unmarried
13.3,24,Male,$25 - $49,College degree,Unmarried
12.6,24,Female,$25 - $49,College degree,Married
17.8,24,Male,$25 - $49,Some college,Unmarried
8,24,Female,Under $25,Did not complete high school,Unmarried
27.3,24,Female,$50 - $74,College degree,Unmarried
9.5,24,Female,Under $25,High school degree,Married
11.2,24,Male,Under $25,Did not complete high school,Unmarried
9.4,24,Female,Under $25,College degree,Unmarried
12.6,24,Male,$25 - $49,College degree,Married
9.5,24,Female,Under $25,College degree,Married
10.5,24,Female,Under $25,High school degree,Unmarried
13.4,25,Male,$25 - $49,High school degree,Unmarried
11.2,25,Female,Under $25,Did not complete high school,Married
12.8,25,Male,$25 - $49,High school degree,Married
15.4,25,Male,$25 - $49,High school degree,Married
12.4,25,Female,$25 - $49,Some college,Married
10,25,Female,Under $25,Did not complete high school,Married
14.4,25,Male,$25 - $49,High school degree,Unmarried
15.8,25,Male,$25 - $49,Did not complete high school,Unmarried
7.3,25,Male,Under $25,Some college,Married
13.9,25,Male,$25 - $49,Some college,Married
24.3,25,Female,$25 - $49,Some college,Unmarried
16.1,25,Female,$25 - $49,College degree,Unmarried
12.7,25,Female,$25 - $49,High school degree,Married
10.3,25,Female,Under $25,High school degree,Unmarried
48,25,Male,$75+,College degree,Unmarried
10.4,25,Female,Under $25,College degree,Married
13,25,Female,$25 - $49,High school degree,Unmarried
15.3,25,Female,$25 - $49,High school degree,Married
13.2,25,Female,$25 - $49,High school degree,Unmarried
13,25,Female,$25 - $49,Did not complete high school,Unmarried
12.1,25,Male,Under $25,Some college,Unmarried
13,25,Female,$25 - $49,College degree,Married
16.8,25,Female,$25 - $49,College degree,Unmarried
13,25,Male,$25 - $49,Did not complete high school,Married
6.9,25,Male,Under $25,Some college,Unmarried
22.7,25,Male,$25 - $49,High school degree,Married
11.6,25,Male,Under $25,College degree,Unmarried
10.6,25,Male,Under $25,Did not complete high school,Married
8,25,Female,Under $25,Did not complete high school,Unmarried
15.5,25,Female,$25 - $49,High school degree,Unmarried
19.7,25,Female,$25 - $49,Some college,Unmarried
11.5,25,Female,Under $25,Did not complete high school,Married
14.1,25,Male,$25 - $49,High school degree,Unmarried
15.5,25,Female,$25 - $49,High school degree,Married
8,25,Male,Under $25,High school degree,Married
14.8,25,Female,$25 - $49,High school degree,Married
25.3,25,Male,$50 - $74,Some college,Married
10.2,25,Female,Under $25,High school degree,Married
11.3,25,Female,Under $25,College degree,Unmarried
21.4,25,Male,$25 - $49,Some college,Married
10,25,Female,Under $25,Some college,Married
13.9,25,Female,$25 - $49,College degree,Unmarried
13.3,25,Male,$25 - $49,High school degree,Unmarried
21,25,Female,$25 - $49,College degree,Married
6.3,25,Male,Under $25,College degree,Unmarried
10.9,25,Female,Under $25,Did not complete high school,Married
15.3,25,Female,$25 - $49,College degree,Unmarried
16.2,25,Male,$25 - $49,Some college,Unmarried
8.1,25,Female,Under $25,High school degree,Unmarried
9.4,25,Female,Under $25,College degree,Married
10,25,Female,Under $25,High school degree,Married
10.7,25,Male,Under $25,High school degree,Married
7.6,25,Male,Under $25,Did not complete high school,Married
8.4,25,Female,Under $25,High school degree,Married
20.9,26,Male,$25 - $49,High school degree,Unmarried
25.3,26,Male,$50 - $74,High school degree,Married
15.7,26,Female,$25 - $49,Did not complete high school,Unmarried
11.7,26,Female,Under $25,Did not complete high school,Married
10.7,26,Male,Under $25,Did not complete high school,Unmarried
7.9,26,Female,Under $25,Did not complete high school,Unmarried
8.5,26,Female,Under $25,College degree,Married
14,26,Male,$25 - $49,High school degree,Married
10.8,26,Female,Under $25,Some college,Unmarried
31.9,26,Male,$50 - $74,Post-undergraduate degree,Unmarried
12.9,26,Female,$25 - $49,Did not complete high school,Married
37.3,26,Male,$50 - $74,Post-undergraduate degree,Married
14,26,Male,$25 - $49,High school degree,Unmarried
8,26,Male,Under $25,High school degree,Unmarried
13,26,Female,$25 - $49,Some college,Unmarried
17.6,26,Male,$25 - $49,Did not complete high school,Unmarried
14.4,26,Female,$25 - $49,College degree,Unmarried
8.9,26,Male,Under $25,High school degree,Unmarried
11.2,26,Male,Under $25,College degree,Unmarried
57.7,26,Male,$75+,Post-undergraduate degree,Unmarried
15.6,26,Female,$25 - $49,Some college,Unmarried
21.2,26,Female,$25 - $49,High school degree,Unmarried
8.4,26,Male,Under $25,Did not complete high school,Unmarried
13.7,26,Female,$25 - $49,Did not complete high school,Married
9.5,26,Male,Under $25,Did not complete high school,Married
29,26,Male,$50 - $74,College degree,Unmarried
9.5,26,Female,Under $25,Did not complete high school,Married
9.5,26,Female,Under $25,High school degree,Unmarried
12.6,26,Female,$25 - $49,High school degree,Unmarried
6.9,26,Male,Under $25,College degree,Unmarried
8.5,26,Female,Under $25,Did not complete high school,Married
13.8,26,Female,$25 - $49,Some college,Unmarried
13.9,26,Female,$25 - $49,Some college,Married
10.1,26,Female,Under $25,College degree,Married
40.8,26,Male,$75+,Post-undergraduate degree,Unmarried
11.4,26,Male,Under $25,Some college,Married
10.7,26,Male,Under $25,Did not complete high school,Unmarried
9,26,Male,Under $25,Some college,Married
10.7,26,Female,Under $25,College degree,Married
9.4,26,Female,Under $25,College degree,Married
11,26,Male,Under $25,High school degree,Married
11.9,26,Male,Under $25,Some college,Unmarried
13.8,26,Female,$25 - $49,High school degree,Married
12.1,26,Male,Under $25,High school degree,Unmarried
23.2,26,Female,$25 - $49,Some college,Married
29.7,26,Male,$50 - $74,Post-undergraduate degree,Unmarried
13.9,26,Female,$25 - $49,Did not complete high school,Unmarried
11.7,26,Female,Under $25,Did not complete high school,Married
10.4,26,Male,Under $25,High school degree,Unmarried
25.4,26,Male,$50 - $74,Post-undergraduate degree,Married
11.9,26,Male,Under $25,College degree,Married
11.9,26,Male,$25 - $49,High school degree,Unmarried
12.3,26,Female,$25 - $49,Did not complete high school,Unmarried
50.6,26,Male,$75+,Post-undergraduate degree,Unmarried
24,26,Female,$50 - $74,Some college,Married
10.9,26,Female,Under $25,High school degree,Unmarried
10.4,26,Male,Under $25,High school degree,Unmarried
11,26,Female,Under $25,College degree,Married
11.4,26,Male,Under $25,College degree,Unmarried
12,26,Male,Under $25,High school degree,Unmarried
10.8,26,Male,Under $25,Some college,Married
9.3,26,Female,Under $25,Did not complete high school,Unmarried
8.7,26,Male,Under $25,High school degree,Unmarried
8.5,26,Male,Under $25,College degree,Unmarried
7.4,26,Female,Under $25,High school degree,Married
5.9,26,Male,Under $25,High school degree,Married
12.3,26,Female,Under $25,Some college,Unmarried
19,26,Male,$25 - $49,Did not complete high school,Unmarried
9.1,26,Female,Under $25,Did not complete high school,Unmarried
8.9,26,Female,Under $25,Some college,Married
10.6,26,Male,Under $25,High school degree,Unmarried
10,26,Male,Under $25,Did not complete high school,Unmarried
11.7,26,Male,Under $25,Some college,Unmarried
21.2,26,Female,$25 - $49,Post-undergraduate degree,Married
23.4,26,Female,$25 - $49,College degree,Unmarried
26.6,26,Female,$50 - $74,College degree,Married
25.9,26,Female,$50 - $74,College degree,Married
12.9,27,Female,$25 - $49,High school degree,Unmarried
49.2,27,Male,$75+,College degree,Unmarried
16.5,27,Female,$25 - $49,High school degree,Married
33.2,27,Male,$50 - $74,College degree,Married
16.7,27,Male,$25 - $49,High school degree,Unmarried
11.7,27,Female,Under $25,College degree,Married
19.7,27,Male,$25 - $49,High school degree,Unmarried
9.3,27,Female,Under $25,Some college,Unmarried
14.1,27,Male,$25 - $49,High school degree,Unmarried
9,27,Female,Under $25,College degree,Married
26.3,27,Male,$50 - $74,College degree,Unmarried
17.8,27,Male,$25 - $49,High school degree,Married
16.2,27,Male,$25 - $49,Some college,Unmarried
15.3,27,Female,$25 - $49,Did not complete high school,Married
21.9,27,Female,$25 - $49,Did not complete high school,Married
20.1,27,Female,$25 - $49,Some college,Married
8.9,27,Female,Under $25,College degree,Married
17.1,27,Female,$25 - $49,College degree,Unmarried
16.1,27,Female,$25 - $49,Some college,Unmarried
22.9,27,Female,$25 - $49,Some college,Married
18.7,27,Female,$25 - $49,Some college,Married
15.6,27,Female,$25 - $49,High school degree,Married
20.3,27,Male,$25 - $49,Did not complete high school,Married
17.3,27,Male,$25 - $49,High school degree,Unmarried
13,27,Male,$25 - $49,Some college,Unmarried
15.6,27,Female,$25 - $49,Some college,Unmarried
9.1,27,Male,Under $25,High school degree,Unmarried
22.1,27,Male,$25 - $49,High school degree,Unmarried
13.7,27,Female,$25 - $49,Did not complete high school,Unmarried
51.3,27,Female,$75+,Some college,Unmarried
16.3,27,Male,$25 - $49,Some college,Married
12.7,27,Female,$25 - $49,High school degree,Unmarried
17,27,Male,$25 - $49,Some college,Unmarried
11.2,27,Male,Under $25,Post-undergraduate degree,Married
13,27,Male,$25 - $49,High school degree,Unmarried
11.2,27,Female,Under $25,High school degree,Married
17.8,27,Female,$25 - $49,Some college,Unmarried
10.2,27,Male,Under $25,Did not complete high school,Married
37.1,27,Male,$50 - $74,High school degree,Unmarried
23.6,27,Female,$25 - $49,Some college,Unmarried
10.3,27,Male,Under $25,Did not complete high school,Married
12.4,27,Male,$25 - $49,Some college,Unmarried
22,27,Male,$25 - $49,High school degree,Unmarried
8.9,27,Female,Under $25,High school degree,Unmarried
27.3,27,Male,$50 - $74,Some college,Married
21.7,27,Female,$25 - $49,College degree,Married
10.7,27,Male,Under $25,Did not complete high school,Unmarried
18.2,27,Male,$25 - $49,College degree,Married
18.4,27,Male,$25 - $49,High school degree,Married
11.5,27,Male,Under $25,College degree,Unmarried
13.3,27,Male,$25 - $49,High school degree,Married
14.1,27,Male,$25 - $49,Post-undergraduate degree,Married
7.6,27,Male,Under $25,Some college,Unmarried
22.6,27,Male,$25 - $49,College degree,Married
11.8,27,Female,Under $25,Did not complete high school,Married
15,27,Male,$25 - $49,High school degree,Unmarried
13.4,27,Male,$25 - $49,Some college,Married
10.8,27,Female,Under $25,High school degree,Unmarried
21.8,27,Male,$25 - $49,Post-undergraduate degree,Unmarried
15.7,27,Female,$25 - $49,College degree,Married
12.3,27,Female,$25 - $49,Did not complete high school,Married
22.8,27,Male,$25 - $49,College degree,Married
8.6,27,Female,Under $25,Did not complete high school,Unmarried
16.6,27,Male,$25 - $49,College degree,Married
10.2,27,Male,Under $25,High school degree,Married
11.8,28,Male,Under $25,College degree,Unmarried
12.5,28,Male,Under $25,Some college,Unmarried
17.3,28,Female,$25 - $49,Some college,Unmarried
14.4,28,Male,$25 - $49,College degree,Married
7.5,28,Female,Under $25,Post-undergraduate degree,Married
12.6,28,Male,$25 - $49,Did not complete high school,Unmarried
21.5,28,Male,$25 - $49,High school degree,Married
20.8,28,Male,$25 - $49,High school degree,Unmarried
37.4,28,Female,$50 - $74,Post-undergraduate degree,Unmarried
34.2,28,Male,$50 - $74,Did not complete high school,Married
11.9,28,Female,$25 - $49,Post-undergraduate degree,Married
15.5,28,Male,$25 - $49,Did not complete high school,Unmarried
17.5,28,Female,$25 - $49,High school degree,Unmarried
11.7,28,Male,Under $25,High school degree,Unmarried
21.7,28,Male,$25 - $49,College degree,Married
33.5,28,Male,$50 - $74,College degree,Married
7.5,28,Female,Under $25,High school degree,Married
19.1,28,Male,$25 - $49,College degree,Unmarried
10,28,Female,Under $25,Post-undergraduate degree,Unmarried
15.2,28,Male,$25 - $49,Some college,Unmarried
10.2,28,Male,Under $25,Did not complete high school,Unmarried
7.9,28,Male,Under $25,Did not complete high school,Unmarried
69,28,Male,$75+,Some college,Married
27.1,28,Male,$50 - $74,High school degree,Unmarried
21.6,28,Male,$25 - $49,High school degree,Unmarried
8.7,28,Female,Under $25,Some college,Unmarried
24.1,28,Male,$25 - $49,College degree,Unmarried
12.6,28,Female,Under $25,High school degree,Married
12.3,28,Female,$25 - $49,College degree,Unmarried
18.2,28,Male,$25 - $49,High school degree,Unmarried
16.9,28,Male,$25 - $49,College degree,Unmarried
14.6,28,Female,$25 - $49,Some college,Unmarried
11.6,28,Female,Under $25,High school degree,Unmarried
8,28,Female,Under $25,College degree,Unmarried
28.9,28,Male,$50 - $74,College degree,Married
10,28,Female,Under $25,High school degree,Married
20.8,28,Female,$25 - $49,Some college,Unmarried
19,28,Male,$25 - $49,Did not complete high school,Unmarried
15.1,28,Male,$25 - $49,College degree,Unmarried
31.7,28,Male,$50 - $74,College degree,Married
14.7,28,Male,$25 - $49,High school degree,Unmarried
24.8,28,Female,$50 - $74,College degree,Married
8.3,28,Female,Under $25,Post-undergraduate degree,Unmarried
14.5,28,Male,$25 - $49,Post-undergraduate degree,Married
23.3,28,Female,$25 - $49,High school degree,Unmarried
12.9,28,Female,$25 - $49,Some college,Unmarried
8.3,28,Female,Under $25,Some college,Unmarried
9.6,28,Male,Under $25,Did not complete high school,Married
10.3,28,Male,Under $25,Post-undergraduate degree,Married
16.3,28,Male,$25 - $49,Some college,Unmarried
28.8,28,Female,$50 - $74,College degree,Unmarried
14.9,28,Female,$25 - $49,Did not complete high school,Unmarried
29.7,28,Male,$50 - $74,High school degree,Married
21.4,28,Female,$25 - $49,College degree,Married
24.7,28,Female,$25 - $49,College degree,Married
8.4,28,Female,Under $25,Did not complete high school,Married
12.9,28,Male,$25 - $49,Some college,Unmarried
10.7,28,Female,Under $25,Did not complete high school,Married
22.6,28,Female,$25 - $49,College degree,Unmarried
10.5,28,Female,Under $25,College degree,Married
45,28,Male,$75+,Post-undergraduate degree,Unmarried
14.5,28,Male,$25 - $49,Did not complete high school,Unmarried
17.6,28,Male,$25 - $49,High school degree,Married
10.5,28,Female,Under $25,Some college,Unmarried
11.9,28,Male,Under $25,High school degree,Married
10.9,28,Male,Under $25,Some college,Unmarried
13.7,28,Female,$25 - $49,High school degree,Unmarried
25.9,28,Male,$50 - $74,College degree,Married
14.7,28,Female,$25 - $49,Some college,Married
27.6,28,Female,$50 - $74,College degree,Unmarried
26.3,28,Male,$50 - $74,Post-undergraduate degree,Unmarried
8.4,28,Female,Under $25,Some college,Unmarried
14.5,28,Male,$25 - $49,Some college,Unmarried
24.5,28,Female,$25 - $49,Some college,Married
11.2,28,Female,Under $25,College degree,Unmarried
10.9,28,Female,Under $25,Some college,Married
12.2,28,Male,$25 - $49,Did not complete high school,Unmarried
11.1,28,Male,Under $25,Did not complete high school,Unmarried
12.5,29,Male,$25 - $49,High school degree,Married
10.9,29,Male,Under $25,College degree,Unmarried
37.3,29,Female,$50 - $74,College degree,Married
34.2,29,Male,$50 - $74,High school degree,Unmarried
15.4,29,Female,$25 - $49,Did not complete high school,Unmarried
10.5,29,Male,Under $25,College degree,Unmarried
19.8,29,Female,$25 - $49,Some college,Married
13.5,29,Female,$25 - $49,Post-undergraduate degree,Unmarried
8.1,29,Male,Under $25,Some college,Unmarried
19.8,29,Male,$25 - $49,Did not complete high school,Married
22.2,29,Male,$25 - $49,High school degree,Married
46.9,29,Female,$75+,College degree,Married
23.6,29,Male,$25 - $49,Some college,Unmarried
29,29,Female,$50 - $74,Post-undergraduate degree,Unmarried
25,29,Male,$25 - $49,High school degree,Unmarried
11.7,29,Male,Under $25,High school degree,Unmarried
14.7,29,Female,$25 - $49,Did not complete high school,Married
67.6,29,Female,$75+,Some college,Married
15.2,29,Male,$25 - $49,High school degree,Unmarried
38,29,Female,$75+,College degree,Unmarried
12.8,29,Female,$25 - $49,High school degree,Unmarried
37.5,29,Female,$75+,College degree,Married
23.6,29,Male,$25 - $49,College degree,Married
32.8,29,Male,$50 - $74,Some college,Married
16,29,Female,$25 - $49,College degree,Married
17,29,Male,$25 - $49,Some college,Unmarried
15.5,29,Male,$25 - $49,High school degree,Unmarried
8.4,29,Female,Under $25,High school degree,Unmarried
11.1,29,Female,Under $25,Some college,Unmarried
15.4,29,Male,$25 - $49,College degree,Unmarried
16,29,Male,$25 - $49,College degree,Unmarried
16.2,29,Female,$25 - $49,High school degree,Unmarried
24.5,29,Female,$50 - $74,Did not complete high school,Married
21.3,29,Male,$25 - $49,High school degree,Unmarried
42.2,29,Female,$75+,High school degree,Married
17.1,29,Female,$25 - $49,High school degree,Unmarried
10.7,29,Female,Under $25,High school degree,Married
14.2,29,Female,$25 - $49,College degree,Unmarried
7.5,29,Female,Under $25,Some college,Married
27.3,29,Male,$50 - $74,College degree,Unmarried
11.8,29,Male,Under $25,Some college,Married
11.5,29,Female,Under $25,High school degree,Unmarried
11.9,29,Male,Under $25,Did not complete high school,Unmarried
17.3,29,Male,$25 - $49,High school degree,Unmarried
26.5,29,Female,$50 - $74,High school degree,Unmarried
44.1,29,Male,$75+,High school degree,Married
23,29,Male,$25 - $49,Some college,Unmarried
14.8,29,Male,$25 - $49,Post-undergraduate degree,Unmarried
11,29,Female,Under $25,Did not complete high school,Married
18.8,29,Female,$25 - $49,High school degree,Unmarried
12.4,29,Female,$25 - $49,Some college,Married
25.8,29,Female,$50 - $74,Some college,Unmarried
19,29,Male,$25 - $49,Did not complete high school,Unmarried
14.3,29,Female,$25 - $49,College degree,Unmarried
9.6,29,Male,Under $25,High school degree,Unmarried
20.7,29,Male,$25 - $49,College degree,Married
8.9,29,Female,Under $25,High school degree,Married
12.7,29,Male,$25 - $49,Did not complete high school,Unmarried
46.9,29,Male,$75+,College degree,Unmarried
9.1,29,Male,Under $25,High school degree,Unmarried
24.4,29,Female,$50 - $74,High school degree,Married
11,29,Male,Under $25,High school degree,Married
16.5,29,Female,$25 - $49,High school degree,Married
11.5,29,Female,Under $25,College degree,Married
15.1,29,Male,$25 - $49,Some college,Married
11.6,29,Male,Under $25,Post-undergraduate degree,Unmarried
13.7,29,Female,$25 - $49,Did not complete high school,Married
17.8,29,Female,$25 - $49,Some college,Married
18.5,29,Female,$25 - $49,College degree,Married
37,29,Male,$75+,High school degree,Unmarried
14.6,29,Female,$25 - $49,College degree,Married
9,29,Female,Under $25,Some college,Unmarried
22.9,29,Male,$25 - $49,Post-undergraduate degree,Unmarried
14.7,29,Male,$25 - $49,Some college,Unmarried
17.3,29,Female,$25 - $49,College degree,Unmarried
11.5,29,Male,Under $25,High school degree,Unmarried
15.9,29,Female,$25 - $49,Did not complete high school,Married
47.9,29,Female,$75+,Some college,Married
18.4,29,Male,$25 - $49,Some college,Unmarried
16.8,29,Male,$25 - $49,Post-undergraduate degree,Unmarried
9.3,29,Female,Under $25,College degree,Married
35.3,29,Male,$50 - $74,College degree,Unmarried
9.5,29,Male,Under $25,High school degree,Unmarried
10.7,29,Female,Under $25,High school degree,Unmarried
9.1,29,Female,Under $25,College degree,Unmarried
10.5,30,Male,Under $25,College degree,Married
13.1,30,Female,$25 - $49,Did not complete high school,Married
24.1,30,Female,$50 - $74,College degree,Married
16,30,Male,$25 - $49,Some college,Married
17,30,Male,$25 - $49,High school degree,Married
10.6,30,Male,Under $25,High school degree,Married
12.6,30,Female,$25 - $49,College degree,Married
9.9,30,Female,Under $25,High school degree,Married
16.6,30,Female,$25 - $49,Post-undergraduate degree,Married
11.3,30,Female,Under $25,Some college,Married
18.8,30,Male,$25 - $49,Some college,Unmarried
53.4,30,Male,$75+,College degree,Married
12.1,30,Female,Under $25,High school degree,Unmarried
13.2,30,Female,$25 - $49,Post-undergraduate degree,Unmarried
10.9,30,Male,Under $25,Some college,Married
28.8,30,Female,$50 - $74,Did not complete high school,Unmarried
26.6,30,Female,$50 - $74,High school degree,Unmarried
9.4,30,Female,Under $25,Some college,Married
24.4,30,Female,$25 - $49,High school degree,Married
